"locus"	"group"
"1"	"sim39"	"GENE1"
"2"	"sim156"	"GENE2"
"3"	"sim555"	"GENE3"
"4"	"sim4689"	"GENE4"
"5"	"sim12270"	"GENE5"
"6"	"sim13393"	"GENE6"
"7"	"sim20377"	"GENE7"
"8"	"sim20431"	"GENE8"
"9"	"sim20448"	"GENE9"
"10"	"sim20453"	"GENE10"
"11"	"sim20460"	"GENE11"
"12"	"sim20576"	"GENE12"
"13"	"sim20595"	"GENE13"
"14"	"sim20681"	"GENE14"
"15"	"sim20735"	"GENE15"
"16"	"sim20758"	"GENE16"
"17"	"sim20808"	"GENE17"
"18"	"sim20878"	"GENE18"
"19"	"sim20945"	"GENE19"
"20"	"sim20976"	"GENE20"
"21"	"sim21042"	"GENE21"
"22"	"sim21185"	"GENE22"
"23"	"sim21270"	"GENE23"
"24"	"sim21790"	"GENE24"
"25"	"sim22419"	"GENE25"
"26"	"sim22949"	"GENE26"
"27"	"sim23480"	"GENE27"
"28"	"sim24850"	"GENE28"
"29"	"sim24856"	"GENE29"
"30"	"sim24880"	"GENE30"
"31"	"sim24888"	"GENE31"
"32"	"sim24891"	"GENE32"
"33"	"sim24900"	"GENE33"
"34"	"sim24906"	"GENE34"
"35"	"sim24911"	"GENE35"
"36"	"sim24936"	"GENE36"
"37"	"sim25002"	"GENE37"
"38"	"sim25006"	"GENE38"
"39"	"sim25016"	"GENE39"
"40"	"sim25019"	"GENE40"
"41"	"sim25029"	"GENE41"
"42"	"sim25039"	"GENE42"
"43"	"sim25055"	"GENE43"
"44"	"sim25061"	"GENE44"
"45"	"sim25075"	"GENE45"
"46"	"sim25083"	"GENE46"
"47"	"sim25090"	"GENE47"
"48"	"sim25095"	"GENE48"
"49"	"sim25097"	"GENE49"
"50"	"sim25108"	"GENE50"
"51"	"sim25116"	"GENE51"
"52"	"sim25123"	"GENE52"
"53"	"sim25125"	"GENE1"
"54"	"sim25133"	"GENE2"
"55"	"sim25139"	"GENE3"
"56"	"sim25144"	"GENE4"
"57"	"sim25147"	"GENE5"
"58"	"sim25154"	"GENE6"
"59"	"sim25166"	"GENE7"
"60"	"sim25172"	"GENE8"
"61"	"sim25177"	"GENE9"
"62"	"sim25179"	"GENE10"
"63"	"sim25181"	"GENE11"
"64"	"sim25185"	"GENE12"
"65"	"sim25200"	"GENE13"
"66"	"sim25219"	"GENE14"
"67"	"sim25223"	"GENE15"
"68"	"sim25232"	"GENE16"
"69"	"sim25237"	"GENE17"
"70"	"sim25250"	"GENE18"
"71"	"sim25260"	"GENE19"
"72"	"sim25262"	"GENE20"
"73"	"sim25264"	"GENE21"
"74"	"sim25287"	"GENE22"
"75"	"sim25291"	"GENE23"
"76"	"sim25297"	"GENE24"
"77"	"sim25301"	"GENE25"
"78"	"sim25302"	"GENE26"
"79"	"sim25344"	"GENE27"
"80"	"sim25357"	"GENE28"
"81"	"sim25359"	"GENE29"
"82"	"sim25367"	"GENE30"
"83"	"sim25372"	"GENE31"
"84"	"sim25407"	"GENE32"
